tmpID	Field ID	Description	abbreviation	machine_readable_name	name	description	alternative_names	group	subgroup
glycine	23462	Glycine	Gly	Gly	Glycine	Glycine		Amino acids	Amino acids
glycoprotein acetyls	23480	Glycoprotein Acetyls	GlycA	GlycA	Glycoprotein acetyls	Glycoprotein acetyls		Inflammation	Inflammation
hdl cholesterol	23406	HDL Cholesterol	HDL-C	HDL_C	HDL-C	HDL cholesterol		Cholesterol	Cholesterol
histidine	23463	Histidine	His	His	Histidine	Histidine		Amino acids	Amino acids
isoleucine	23465	Isoleucine	Ile	Ile	Isoleucine	Isoleucine		Amino acids	Branched-chain amino acids
lactate	23471	Lactate	Lactate	Lactate	Lactate	Lactate		Glycolysis related metabolites	Glycolysis related metabolites
ldl cholesterol	23405	LDL Cholesterol	LDL-C	LDL_C	LDL-C	LDL cholesterol		Cholesterol	Cholesterol
leucine	23466	Leucine	Leu	Leu	Leucine	Leucine		Amino acids	Branched-chain amino acids
linoleic acid	23449	Linoleic Acid	LA	LA	LA	Linoleic acid		Fatty acids	Fatty acids
linoleic acid to total fatty acids	23456	Linoleic Acid to Total Fatty Acids percentage	LA %	LA_pct	LA %	Ratio of linoleic acid to total fatty acids		Fatty acids	Fatty acid ratios
monounsaturated fatty acids	23447	Monounsaturated Fatty Acids	MUFA	MUFA	MUFA	Monounsaturated fatty acids		Fatty acids	Fatty acids
monounsaturated fatty acids to total fatty acids	23454	Monounsaturated Fatty Acids to Total Fatty Acids percentage	MUFA %	MUFA_pct	MUFA %	Ratio of monounsaturated fatty acids to total fatty acids		Fatty acids	Fatty acid ratios
omega-3 fatty acids	23444	Omega-3 Fatty Acids	Omega-3	Omega_3	Omega-3	Omega-3 fatty acids		Fatty acids	Fatty acids
